config_from,config_to,hamming_dist
378758,362372,2
378758,362373,3
378758,362374,1
378758,362375,2
378758,362378,3
378758,362382,2
378758,362391,3
378758,362392,5
378758,362394,4
378758,362396,4
378758,362398,3
378758,362399,4
378758,363396,4
378758,364034,5
378758,364166,3
378758,364292,4
378758,364294,3
378758,364416,4
378758,364420,3
378758,364422,2
378758,364423,3
378758,364430,3
378758,364446,4
378758,368516,4
378758,368518,3
378758,368519,4
378758,369152,7
378758,369408,6
378758,369410,5
378758,369414,4
378758,369538,4
378758,369540,4
378758,369542,3
378758,370176,6
378758,370182,4
378758,370310,3
378758,370438,3
378758,370560,4
378758,370562,3
378758,370564,3
378758,370566,2
378758,370567,3
378758,371588,5
378758,372358,4
378758,372480,6
378758,372486,4
378758,372608,5
378758,372612,4
378758,372614,3
378758,372615,4
378758,375558,6
378758,376708,5
378758,376710,4
378758,377222,2
378758,377346,4
378758,377350,3
378758,377472,4
378758,377600,4
378758,377602,3
378758,377606,2
378758,377728,3
378758,377730,2
378758,377732,2
378758,377734,1
378758,377862,3
378758,377986,3
378758,377990,2
378758,378368,4
378758,378372,3
378758,378374,2
378758,378502,1
378758,378624,3
378758,378626,2
378758,378628,2
378758,378630,1
378758,378752,2
378758,378754,1
378758,378756,1
378758,378758,0
378758,378759,1
378758,378766,1
378758,378774,1
378758,379780,3
378758,379782,2
378758,380420,4
378758,380422,3
378758,380550,2
378758,380804,2
378758,380806,1
378758,385536,6
378758,385538,5
378758,385542,4
378758,385664,5
378758,385668,4
378758,385670,3
378758,385792,5
378758,385794,4
378758,385798,3
378758,385920,4
378758,385924,3
378758,385926,2
378758,385934,3
378758,386560,5
378758,386562,4
378758,386566,3
378758,386688,4
378758,386693,4
378758,386694,2
378758,386822,2
378758,386944,3
378758,386946,2
378758,386948,2
378758,386950,1
378758,386951,2
378758,386958,2
378758,387968,5
378758,387972,4
378758,387974,3
378758,388614,4
378758,388996,3
378758,388998,2
378758,388999,3
378758,389006,3
378758,389894,4
378758,390022,3
378758,391046,2
378758,391684,7
378758,391686,6
378758,391940,6
378758,391942,5
378758,392962,5
378758,393094,3
378758,395014,5
378758,395136,6
378758,436101,6
378758,452485,5
378758,459522,6
378758,459526,5
378758,460550,4
378758,460672,5
378758,460674,4
378758,460676,4
378758,468866,5
378758,468870,4
378758,475014,6
378758,475910,4
378758,476032,5
378758,476038,3
378758,477056,4
378758,484230,4
378758,485254,3
378758,491398,5
378758,491520,8
378758,491910,4
378758,492032,7
378758,492288,6
378758,492290,5
378758,492416,5
378758,492418,4
378758,492420,4
378758,492422,3
378758,492423,4
378758,492428,5
378758,493056,6
378758,493058,5
378758,493060,5
378758,493062,4
378758,493312,5
378758,493318,3
378758,493440,4
378758,493442,3
378758,493444,3
378758,493446,2
378758,493447,3
378758,493448,5
378758,493460,4
378758,493462,3
378758,493468,5
378758,495494,3
378758,495495,4
378758,495510,4
378758,497543,4
378758,499458,6
378758,499462,5
378758,499586,5
378758,499590,4
378758,499591,5
378758,500224,8
378758,500480,7
378758,500482,6
378758,500608,6
378758,500609,7
378758,500610,5
378758,500613,6
378758,500614,4
378758,500615,5
378758,500620,6
378758,501248,7
378758,501252,6
378758,501254,5
378758,501380,5
378758,501381,6
378758,501510,4
378758,501632,5
378758,501633,6
378758,501634,4
378758,501635,5
378758,501636,4
378758,501637,5
378758,501638,3
378758,501639,4
378758,501644,5
378758,501646,4
378758,503558,5
378758,503559,6
378758,503680,6
378758,503682,5
378758,503684,5
378758,503686,4
378758,503687,5
378758,503694,5
378758,506630,7
378758,507776,7
378758,507782,5
378758,507783,6
378758,508294,3
378758,508420,5
378758,508422,4
378758,508678,3
378758,508800,4
378758,508801,5
378758,508802,3
378758,508804,3
378758,508806,2
378758,508807,3
378758,509446,3
378758,509698,3
378758,509702,2
378758,509824,3
378758,509826,2
378758,509827,3
378758,509828,2
378758,509830,1
378758,509831,2
378758,509832,4
378758,509846,2
378758,511746,4
378758,511750,3
378758,511872,4
378758,511878,2
378758,511894,3
378758,512896,5
378758,513920,4
378758,513928,5
378758,514944,6
378758,515846,4
378758,515968,5
378758,515974,3
378758,516224,7
378758,516608,7
378758,516614,5
378758,516736,6
378758,516740,5
378758,516741,6
378758,516742,4
378758,516864,6
378758,516870,4
378758,516993,6
378758,516994,4
378758,516996,4
378758,516998,3
378758,516999,4
378758,517002,5
378758,517006,4
